기간,자치구,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,세대당인구,65세이상고령자
기간,자치구,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,세대당인구,65세이상고령자
기간,자치구,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2021.2/4,합계,4405638,9795426,4756178,5039248,9565990,4649442,4916548,229436,106736,122700,2.17,1576971
2021.2/4,종로구,73525,155106,75009,80097,146029,70985,75044,9077,4024,5053,1.99,27605
2021.2/4,중구,62897,132259,64526,67733,123016,60019,62997,9243,4507,4736,1.96,23980
2021.2/4,용산구,111650,240665,116858,123807,226378,108948,117430,14287,7910,6377,2.03,38884
2021.2/4,성동구,134542,295767,143927,151840,289162,141042,148120,6605,2885,3720,2.15,45591
2021.2/4,광진구,166957,355306,170624,184682,342481,165233,177248,12825,5391,7434,2.05,50815
2021.2/4,동대문구,166372,352259,172865,179394,338040,167335,170705,14219,5530,8689,2.03,61262
2021.2/4,중랑구,185073,394679,194556,200123,389972,192688,197284,4707,1868,2839,2.11,70172
2021.2/4,성북구,194364,443206,212849,230357,433658,209210,224448,9548,3639,5909,2.23,73568
2021.2/4,강북구,144525,306093,148824,157269,302645,147542,155103,3448,1282,2166,2.09,63383
2021.2/4,도봉구,138387,322419,156843,165576,320365,156080,164285,2054,763,1291,2.31,62894
2021.2/4,노원구,217322,520005,250532,269473,515997,248719,267278,4008,1813,2195,2.37,86697
2021.2/4,은평구,213662,479409,229241,250168,475371,227584,247787,4038,1657,2381,2.22,85921
2021.2/4,서대문구,143226,317699,150608,167091,307070,146844,160226,10629,3764,6865,2.14,53627
2021.2/4,마포구,178625,379984,177998,201986,370132,174200,195932,9852,3798,6054,2.07,53891
2021.2/4,양천구,181012,454288,222538,231750,450992,221140,229852,3296,1398,1898,2.49,66942
2021.2/4,강서구,269276,582995,280822,302173,577519,278360,299159,5476,2462,3014,2.14,90404
2021.2/4,구로구,180258,424582,210936,213646,399266,197034,202232,25316,13902,11414,2.21,71186
2021.2/4,금천구,115358,244685,124394,120291,230168,116491,113677,14517,7903,6614,2,40181
2021.2/4,영등포구,185025,402375,199881,202494,377421,186482,190939,24954,13399,11555,2.04,61571
2021.2/4,동작구,183859,397231,191657,205574,387847,187617,200230,9384,4040,5344,2.11,65732
2021.2/4,관악구,274565,502698,251713,250985,488800,245404,243396,13898,6309,7589,1.78,78647
2021.2/4,서초구,171574,422174,202027,220147,418407,200163,218244,3767,1864,1903,2.44,60395
2021.2/4,강남구,232707,536107,256449,279658,531375,254139,277236,4732,2310,2422,2.28,76184
2021.2/4,송파구,280707,664341,320113,344228,658670,317531,341139,5671,2582,3089,2.35,95164
2021.2/4,강동구,200170,469094,230388,238706,465209,228652,236557,3885,1736,2149,2.32,72275